id,prod_id,product_name,unit,quantity,rate,tax_rate,total,description,discount_rate,discount_amount,sequence,tax_amount,unique_key_fk_purchase,unique_key_fk_product,unique_key_list_item,local_purchase_id,org_Id,purchase_product_code,taxable_flag,tax_list,unique_key_fk_return_purchase,unique_key_return_purchase_list_item
29,0,Keyboard,,1,1450,0,1450,laptop with backlight,0,0,0,0,56de6bdb8d73b1011721715797047,56de6bdb8d73b1011721715785141,56de6bdb8d73b1011721715797050,0,61545,,0,[],,
30,0,Keyboard Replacement,,1,500,0,500,MSI,0,0,0,0,56de6bdb8d73b1011721715845074,56de6bdb8d73b1011721715833651,56de6bdb8d73b1011721715845077,0,61545,,0,[],,
31,0,Wifi Dongle USB,,5,150,0,750,,0,0,0,0,56de6bdb8d73b1011721718446911,56de6bdb8d73b1011721718426760,56de6bdb8d73b1011721718446915,0,61545,,0,[],,
32,0,UPS,,1,1700,0,1700,Intex,0,0,0,0,03140fb9a2e59e0b1723207786492,56de6bdb8d73b1011721309229336,03140fb9a2e59e0b1723207786503,0,61545,,0,[],,
33,0,Lan Wire 2mtrs,,5,40,0,200,,0,0,0,0,56de6bdb8d73b1011723402960930,56de6bdb8d73b1011723402721767,56de6bdb8d73b1011723402960933,0,61545,,0,[],,
34,0,Sata Power,,4,20,0,80,,0,0,0,0,56de6bdb8d73b1011723402960930,56de6bdb8d73b1011723402937102,56de6bdb8d73b1011723402960934,0,61545,,0,[],,
35,0,Power Button,,5,20,0,100,,0,0,0,0,56de6bdb8d73b1011723402960930,56de6bdb8d73b1011723402952946,56de6bdb8d73b1011723402960935,0,61545,,0,[],,
36,0,AOC 22inch Monitor,,1,5000,0,5000,,0,0,0,0,56de6bdb8d73b1011723126726104,56de6bdb8d73b1011723126656185,56de6bdb8d73b1011723126726107,0,61545,,0,[],,
37,0,Sata Cables,,10,15,0,150,,0,0,0,0,56de6bdb8d73b1011723126726104,56de6bdb8d73b1011723126676272,56de6bdb8d73b1011723126726108,0,61545,,0,[],,
38,0,Dell Original Charger 90w,,1,1100,0,1100,,0,0,0,0,56de6bdb8d73b1011723126726104,56de6bdb8d73b1011723126710213,56de6bdb8d73b1011723126726109,0,61545,,0,[],,
39,0,Motherboard Gigabyte 610MK,,1,6100,0,6100,,0,0,0,0,56de6bdb8d73b1011723573151210,56de6bdb8d73b1011723572898842,56de6bdb8d73b1011723573151213,0,61545,,0,[],,
40,0,WD 500 Gb Nvme,,1,2800,0,2800,,0,0,0,0,56de6bdb8d73b1011723573151210,56de6bdb8d73b1011723572991818,56de6bdb8d73b1011723573151215,0,61545,,0,[],,
41,0,8gb Ddr4 Hynix Ram,,2,1050,0,2100,,0,0,0,0,56de6bdb8d73b1011723573151210,56de6bdb8d73b1011723573030382,56de6bdb8d73b1011723573151216,0,61545,,0,[],,
42,0,Bluetooth Dongle USB,,2,90,0,180,,0,0,0,0,56de6bdb8d73b1011723573151210,56de6bdb8d73b1011723573061195,56de6bdb8d73b1011723573151217,0,61545,,0,[],,
43,0,i5 12400 12th Generation,,1,12000,0,12000,,0,0,0,0,56de6bdb8d73b1011723573151210,56de6bdb8d73b1011723573102512,56de6bdb8d73b1011723573151218,0,61545,,0,[],,
44,0,i7 4th\/16gb Ram\/256gb Ssd\/1tb Hdd\/2gb Graphics\/Samsung 22\/Dell Keyboard Mouse,,1,18350,0,18350,,0,0,0,0,03140fb9a2e59e0b1723886912127,03140fb9a2e59e0b1723886862983,03140fb9a2e59e0b1723886912136,0,61545,,0,[],,
45,0,SMPS,,1,400,0,400,,0,0,0,0,03140fb9a2e59e0b1723886912127,56de6bdb8d73b1011723044003957,03140fb9a2e59e0b1723886912138,0,61545,,0,[],,
